GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US13021013605,13021013605,"Census Tract 136.05, Bibb County, Georgia",864,32,-,**,746,100,852,21,997,151,-,**,-,**
1400000US13021013606,13021013606,"Census Tract 136.06, Bibb County, Georgia",851,31,-,**,850,152,839,32,-,**,-,**,-,**
1400000US13021013700,13021013700,"Census Tract 137, Bibb County, Georgia",572,101,575,456,490,103,743,207,1056,178,-,**,-,**
1400000US13021013800,13021013800,"Census Tract 138, Bibb County, Georgia",550,43,-,**,280,14,539,199,573,17,713,178,418,13
1400000US13021013900,13021013900,"Census Tract 139, Bibb County, Georgia",637,29,-,**,-,**,604,150,678,37,-,**,-,**
1400000US13023790100,13023790100,"Census Tract 7901, Bleckley County, Georgia",528,134,-,**,-,**,537,118,680,337,-,**,-,**
1400000US13023790200,13023790200,"Census Tract 7902, Bleckley County, Georgia",736,60,-,**,-,**,615,106,895,74,908,309,-,**
1400000US13023790300,13023790300,"Census Tract 7903, Bleckley County, Georgia",554,61,-,**,422,106,528,98,658,298,-,**,-,**
1400000US13025960100,13025960100,"Census Tract 9601, Brantley County, Georgia",514,314,-,**,-,**,374,76,795,265,-,**,-,**
1400000US13025960200,13025960200,"Census Tract 9602, Brantley County, Georgia",618,48,-,**,275,153,592,40,779,203,-,**,-,**
1400000US13025960300,13025960300,"Census Tract 9603, Brantley County, Georgia",573,18,-,**,-,**,553,31,578,90,816,95,-,**
1400000US13027960200,13027960200,"Census Tract 9602, Brooks County, Georgia",504,127,-,**,425,10,517,31,658,360,-,**,-,**
1400000US13027960300,13027960300,"Census Tract 9603, Brooks County, Georgia",721,63,-,**,-,**,626,25,739,132,-,**,-,**
1400000US13027960400,13027960400,"Census Tract 9604, Brooks County, Georgia",603,41,-,**,-,**,589,34,702,114,-,**,-,**
1400000US13027960500,13027960500,"Census Tract 9605, Brooks County, Georgia",632,97,-,**,-,**,588,59,836,104,711,109,-,**
1400000US13027960600,13027960600,"Census Tract 9606, Brooks County, Georgia",-,**,-,**,-,**,657,110,-,**,-,**,-,**
1400000US13029920101,13029920101,"Census Tract 9201.01, Bryan County, Georgia",1018,164,-,**,-,**,-,**,1071,197,1066,141,-,**
1400000US13029920102,13029920102,"Census Tract 9201.02, Bryan County, Georgia",713,53,-,**,273,118,702,51,874,335,-,**,-,**
1400000US13029920301,13029920301,"Census Tract 9203.01, Bryan County, Georgia",886,354,-,**,-,**,731,514,-,**,-,**,-,**
1400000US13029920303,13029920303,"Census Tract 9203.03, Bryan County, Georgia",1137,204,-,**,490,77,763,73,1356,58,1426,293,-,**
1400000US13029920305,13029920305,"Census Tract 9203.05, Bryan County, Georgia",1724,394,-,**,-,**,-,**,-,**,1837,161,-,**
1400000US13029920306,13029920306,"Census Tract 9203.06, Bryan County, Georgia",1831,147,-,**,3031,1581,1206,377,1431,363,1934,165,2713,289
